STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
EN Moses Lake,Shell Recharge,312 West Third Avenue,Moses Lake,WA,98837,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
120 North 1st Street,Shell Recharge,120 North 1st Street,Dayton,WA,99328,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Sprague,EVConnect,105 West 1st Street,Sprague,WA,99032,"200 A, 180 kW",Cost: 0.35$ / kWh
Dave Smith Nissan,None,6901 East Sprague Avenue,Spokane Valley,WA,99212,"50 A, 20 kW",Cost: 0.00$ / Free
Kendall Yards - Bridge Lane Parking,Shell Recharge,500 North Cedar Street,Spokane,WA,99201,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, 0.5-25kWhs, Maximum power of 50 KW"
STA Park & Ride,Shell Recharge,East Mission Avenue,Liberty Lake,WA,99019,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, 0.5-25kWhs, Maximum power of 50 KW"
Washington Trust Bank - East Hastings Road,Shell Recharge,438 East Hasting Road,Spokane,WA,99218,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, 0.5-25kWhs, Maximum power of 50 KW"
Walmart - Spokane Valley,Electrify America,15727 East Broadway Avenue,Spokane Valley,WA,99037,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
West Plains Transit Center,Shell Recharge,10810 West Westbow Road,Spokane,WA,99201,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, 0.5-25kWhs, Maximum power of 50 KW"
Gonzaga Fast,Shell Recharge,721 North Cincinnati,SPOKANE,WA,99201,"125 A, 50 kW","Cost: 0.35$ / kWh $0.35/kWh: 17:00-17:00, Maximum power of 50 KW"
Lone Wolf Harley-Davidson,ChargePoint,19011 East Cataldo Avenue,Spokane Valley,WA,99016,"50 A, 24 kW",Cost: Free
Town Nissan,None,555 3rd Street Southeast,East Wenatchee,WA,98802,"? A, ? kW",Cost: 0.00$ / Free
Suncadia Resort,"Webasto, Tesla",3600 Suncadia Trl,Cle Elum,WA,98922,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Wenatchee - Wenatchee Convention Center,Webasto,200 North Columbia Street,Wenatchee,WA,98801,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Leavenworth - City Hall,Webasto,700 US Highway 2,Leavenworth,WA,98826,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Gunnars Bistro - Cle Elum,"Tesla, Shell Recharge",811 WA-970,Cle Elum,WA,98922,"125 A, 50 kW","Cost: 21.00$ / Hour $21/hr: 17:00-17:00, Maximum power of 50 KW"
Cascade Chevrolet,None,148 Easy Street,Wenatchee,WA,98801,"? A, ? kW",Cost: 0.00$ / Free
Albertsons Safeway,Electrify America,116 River Bend Drive,Leavenworth,WA,98826,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Burien Nissan,None,16042 1st Avenue South,Burien,WA,98148,"? A, ? kW",Cost: 0.00$ / Free
Tacoma Nissan,None,4030 South Tacoma Way,Tacoma,WA,98409,"? A, ? kW",Cost: 0.00$ / Free
Puyallup Nissan,None,101 Valley Avenue Northwest,Puyallup,WA,98371,"? A, ? kW",Cost: 0.00$ / Free
Younker Nissan,None,3401 East Valley Road,Renton,WA,98058,"? A, ? kW",Cost: 0.00$ / Free
Nissan of Fife,Unknown (edit),1700 Alexander Ave S,Fife,WA,98424,"? A, ? kW",Cost: 0.00$ / Free
Sultan - Sultan Visitor Information Center,Webasto,320 Main Street,Sultan,WA,98294,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
Skykomish - Sky Deli,Webasto,148 5th Street North,Skykomish,WA,98288,"? A, ? kW",Cost: 7.50$ / Session $19.99 for monthly plan.
East Madison Garage,Electrify America,1300 East MADISON Street,Seattle,WA,98122,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Fred Meyer Bellevue,EVgo,2041 148th Avenue Northeast,Bellevue,WA,98007,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
North Seattle College,ChargePoint,9600 College Way North,Seattle,WA,98103,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
The Landing Garage,EVgo,828 North 10th Place,Renton,WA,98057,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Century Link North Parking Lot,ChargePoint,338 Weller Street Bridge,Seattle,WA,98134,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Bellevue Nissan,None,14762 Southeast Eastgate Way,Bellevue,WA,98007,"? A, ? kW",Cost: 0.00$ / Free
Seattle Premium Outlets,EVgo,10600 Quil Ceda Boulevard,Quil Ceda Village,WA,98271,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Northgate Mall,EVgo,401 Northeast Northgate Way,Seattle,WA,98125,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
North Bend Premium Outlets,EVgo,461 South Fork Avenue Southwest,North Bend,WA,98045,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Redmond Town Center,EVgo,7525 166th Avenue Northeast,Redmond,WA,98052,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Kia of Puyallup,Shell Recharge,111 Valley Avenue Northeast,Puyallup,WA,98372,"125 A, 50 kW","Cost: 10.00$ / Hour Min price: $3.00, Max price: $30.00"
Tacoma Mall,EVgo,4502 South Steele Street,Tacoma,WA,98409,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
15135 4th Avenue Southwest,ChargePoint,15135 4th Avenue Southwest,Burien,WA,98166,"62 A, 62 kW","Cost: Energy SATURDAY 00:00 AM - 07:00 AM 0.214 USD per kWh MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 00:00 AM - 07:00 AM 0.214 USD per kWh MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 07:00 AM - 7:00 PM 0.3564 USD per kWh SATURDAY 07:00 AM - 7:00 PM 0.3564 USD per kWh SATURDAY 7:00 PM - 11:59 PM 0.214 USD per kWh MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY 7:00 PM - 11:59 PM 0.214 USD per kWh SUNDAY 0.214 USD per kWh Max Fee 45 USD"
Car Pros Kia Tacoma,Shell Recharge,7230 South Tacoma Way,Tacoma,WA,98409,"125 A, 50 kW",Cost: 7.00$ / Hour Max price: $30.00
AAA Alderwood,EVgo,3000 196th Street Southwest,Lynnwood,WA,98036,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
BMW Seattle,ChargePoint,1002 Airport Way South,Seattle,WA,98134,"52 A, 23.9 kW",Cost: Parking 5 USD per hour for first 60 mins Parking 10 USD per hour after 60 mins Min Fee 5 USD
New Seasons Market - Mercer Island,EVgo,2755 77th Avenue Southeast,Mercer Island,WA,98040,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
REI,EVgo,222 Yale Avenue North,Seattle,WA,98109,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Edmonds Nissan,"ChargePoint, None",24325 WA-99,Edmonds,WA,98026,"62 A, 62 kW",Cost: 8.00$ / Session
Beacon Hill Light Rail,Shell Recharge,2535 16th Avenue South,Seattle,WA,98144,"125 A, 50 kW","Cost: Mon-Sat (5PM-7PM) $0.33 per kWh, Mon-Sat (7AM-5PM) $0.33 per kWh, Mon-Sat (7PM-12AM) $0.20 per kWh, Tue-Sun (12AM-12AM) $0.20 per kWh, Sun (5PM-12AM) $0.20 per kWh, Mon (12AM-12AM) $0.20 per kWh, Sun (12AM-5PM) $0.20 per kWh, Mon-Sat (12AM-7AM) $0.20 per kWh"
Eluminocity,ChargePoint,1609 Harvard Avenue,Seattle,WA,98122,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Edmonds Nissan,ChargePoint,24015 84th Avenue West,Edmonds,WA,98026,"100 A, 50 kW",Cost: 8.00$ / Session
Eluminocity,ChargePoint,6701 Corson Avenue South,Seattle,WA,98108,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Volkswagen of Kirkland,None,12612 NE 124th St,Kirkland,WA,98034,"? A, ? kW",Cost: Unknown
Kaiser Northgate,ChargePoint,9800 4th Avenue Northeast,Seattle,WA,98115,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Seattle Mini,ChargePoint,11536 Lake City Way Northeast,Seattle,WA,98125,"100 A, 50 kW",Cost: Energy 0.25 USD per kWh Parking (While not charging) 0.25 USD per minute After 20 mins of grace Period Parking (While plugged in) For first 20 mins Free Flat Fee 2.95 USD
Performance Kia,None,229 Southwest Everett Mall Way,Everett,WA,98204,"? A, ? kW",Cost: Unknown
"Kroger Fred Meyer 691 (Gig Harbor, WA)",Electrify America,5502 Point Fosdick Drive Northwest,Gig Harbor,WA,98335,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Jaguar Land Rover Bellevue,ChargePoint,13817 Northeast 20th Street,Bellevue,WA,98005,"50 A, 24 kW",Cost: Free
North Bend Premium Outlets,Electrify America,461 South Fork Avenue,North Bend,WA,98045,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Woodland Zoo,ChargePoint,750 North 50th Street,Seattle,WA,98103,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Walmart - Everett,Electrify America,11400 Highway 99,Everett,WA,98204,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Target - Renton,Electrify America,1215 North Landing Way,Renton,WA,98057,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Target - Lynnwood,Electrify America,18305 Alderwood Mall Parkway,Lynnwood,WA,98037,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Lacey,Electrify America,1401 Galaxy Drive Northeast,Lacey,WA,98516,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Covington,Electrify America,17432 Southeast 270th Place,Covington,WA,98042,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Seattle Premium Outlets,Electrify America,10600 Quil Ceda Boulevard,Tulalip,WA,98271,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Tacoma,Electrify America,1965 South Union Avenue,Tacoma,WA,98405,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Harley Davisdon,ChargePoint,5711 188th Street Southwest,Lynnwood,WA,98037,"50 A, 24 kW",Cost: Energy 0.16 USD per kWh Parking (While not charging) 1 USD per hour After 15 mins of grace Period Parking (While plugged in) For first 15 mins 1 USD per hour Flat Fee 1 USD
Harley Davisdon,ChargePoint,2302 Pacific Highway East,Fife,WA,98424,"50 A, 24 kW",Cost: Energy 0 USD per kWh Parking 0.1 USD per minute for first 120 mins Parking 0.2 USD per minute after 120 mins
Harley Davisdon,ChargePoint,2350 136th Place Northeast,Bellevue,WA,98005,"50 A, 24 kW",Cost: Energy 0.16 USD per kWh Parking (While not charging) 1 USD per minute After 15 mins of grace Period Parking (While plugged in) For first 15 mins Free Flat Fee 1 USD
Harley Davisdon,ChargePoint,8000 Freedom Lane Northeast,Lacey,WA,98516,"50 A, 24 kW",Cost: Energy 0.55 USD per kWh Parking 0 USD per minute for first 45 mins Parking 0.2 USD per minute after 45 mins
Walmart - Everett,Electrify America,1605 Southeast Everett Mall Way,Everett,WA,98208,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Target - Lake Stevens,Electrify America,9601 Market Place,Lake Stevens,WA,98258,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Jet City Harley-Davidson,ChargePoint,3715 East Valley Road,Renton,WA,98057,"50 A, 24 kW",Cost: Energy 0.1 USD per kWh Parking 0 USD per minute for first 60 mins Parking 0.1 USD per minute after 60 mins
Simon Northgate Mall,Electrify America,401 Northeast Northgate Way,Seattle,WA,98125,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Target - Tukwila,Electrify America,301 Strander Boulevard,Tukwila,WA,98188,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Target - Issaquah,Electrify America,755 Northwest Gillman Boulevard,Issaquah,WA,98027,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Walmart - Monroe,Electrify America,19191 North Kelsey Street,Monroe,WA,98272,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Fred Meyer - Bothell,Electrify America,21045 Bothell Everett Highway,Bothell,WA,98021,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
DuPont Ace Hardware,EVgo,1585 McNeil Street,DuPont,WA,98327,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Sea-Tac Airport Cell Phone Lot,EVgo,2623 South 170th Street,Seattle,WA,98188,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Seattle City Light S Service,Shell Recharge,409 South Spokane Street,Seattle,WA,98134,"125 A, 50 kW","Cost: Mon-Sat (5PM-7PM) $0.33 per kWh, Mon-Sat (7AM-5PM) $0.33 per kWh, Mon-Sat (7PM-12AM) $0.20 per kWh, Tue-Sun (12AM-12AM) $0.20 per kWh, Sun (5PM-12AM) $0.20 per kWh, Mon (12AM-12AM) $0.20 per kWh, Sun (12AM-5PM) $0.20 per kWh, Mon-Sat (12AM-7AM) $0.20 per kWh"
Whole Foods Lynwood,EVgo,2808 196th Street Southwest,Lynnwood,WA,98036,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Lee Johnson Nissan,EVConnect,11930 124th Avenue Northeast,Kirkland,WA,98034,"120 A, 50 kW",Cost: 0.30$ / kWh
LeMay-America's Car Museum,EVgo,2702 East D Street,Tacoma,WA,98421,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
Magnuson Park,Shell Recharge,Sportsfield Drive Northeast,Seattle,WA,98115,"125 A, 50 kW","Cost: Mon-Sat (5PM-7PM) $0.33 per kWh, Mon-Sat (7AM-5PM) $0.33 per kWh, Mon-Sat (7PM-12AM) $0.20 per kWh, Tue-Sun (12AM-12AM) $0.20 per kWh, Sun (5PM-12AM) $0.20 per kWh, Mon (12AM-12AM) $0.20 per kWh, Sun (12AM-5PM) $0.20 per kWh, Mon-Sat (12AM-7AM) $0.20 per kWh"
Harvard Market,EVgo,1406 Harvard Avenue,Seattle,WA,98122,"125 A, 50 kW","Cost: Pay As You Go: $0.29/min, $3.00 for reservations; Evgo Member: $0.25/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.22/min, free for reservations, Membership fee: $6.99/month"
South Seattle College,ChargePoint,6000 16th Avenue Southwest,Seattle,WA,98106,"100 A, 50 kW",Cost: Energy 0.25 USD per kWh Parking (While not charging) 0.25 USD per minute After 20 mins of grace Period Parking (While plugged in) For first 20 mins Free Flat Fee 2.95 USD
Target,Electrify America,17700 Northeast 76th Street,Redmond,WA,98052,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Cafaro South Hill Mall,Electrify America,3700 South MERIDIAN,PUYALLUP,WA,98373,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Bank of America,Electrify America,14003 Northeast Woodinville Duvall Road,Woodinville,WA,98072,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
Madison Miller,Shell Recharge,2113 East Olive Street,Seattle,WA,98122,"125 A, 50 kW","Cost: Mon-Sat (5PM-7PM) $0.33 per kWh, Mon-Sat (7AM-5PM) $0.33 per kWh, Mon-Sat (7PM-12AM) $0.20 per kWh, Tue-Sun (12AM-12AM) $0.20 per kWh, Sun (5PM-12AM) $0.20 per kWh, Mon (12AM-12AM) $0.20 per kWh, Sun (12AM-5PM) $0.20 per kWh, Mon-Sat (12AM-7AM) $0.20 per kWh"
Alaska Junction SCL,Shell Recharge,4535 39th Avenue Southwest,Seattle,WA,98116,"125 A, 50 kW","Cost: Mon-Sat (5PM-7PM) $0.33 per kWh, Mon-Sat (7AM-5PM) $0.33 per kWh, Mon-Sat (7PM-12AM) $0.20 per kWh, Tue-Sun (12AM-12AM) $0.20 per kWh, Sun (5PM-12AM) $0.20 per kWh, Mon (12AM-12AM) $0.20 per kWh, Sun (12AM-5PM) $0.20 per kWh, Mon-Sat (12AM-7AM) $0.20 per kWh"
Rainier Beach,Electrify America,9019 Rainier Avenue South,Seattle,WA,98118,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
13050 Interurban Avenue So.,Shell Recharge,13050 Interurban Avenue So.,Tukwila,WA,98168,"100 A, 40 kW","Cost: Mon-Sat (7AM-5PM) $0.36 per kWh, Mon-Sat (5PM-7PM) $0.36 per kWh, Mon-Sat (7PM-12AM) $0.21 per kWh, Tue-Sun (12AM-12AM) $0.21 per kWh, Sun (5PM-12AM) $0.21 per kWh, Mon (12AM-12AM) $0.21 per kWh, Sun (12AM-5PM) $0.21 per kWh, Mon-Sat (12AM-7AM) $0.21 per kWh"
Pacific Science Center,ChargePoint,200 2nd Avenue North,Seattle,WA,98109,"100 A, 50 kW",Cost: 0.35$ / kWh Time not charging: $6/hr after 15 mins
Safeway,Electrify America,300 Bellevue Wayne,Bellevue,WA,98004,"875 A, 350 kW",Cost: 0.43$ / kWh Membership rate: $0.31/kWh. Membership fee: $4.00/month
